"prefix","code","course name","description","credit hours","prereqs","coreqs"
"ARCH","495","Cultural Engagement","Investigations of historic and contemporary contexts in various locations abroad.","3","",""
"ARCH","496","Design IX: Provocations","Thematic studio requiring research, critical examination and individual engagement through design speculation of critical positions within the discipline addressing topics outlined by individual instructors.","6","ARCH 374",""
"ARCH","496S","Design IX: Provocations   Collaborative Engagement","Thematic studio requiring research, critical examination and individual engagement through design speculation of critical positions within the discipline addressing topics outlined by individual instructors. Supports service learning with engaged community partner. Includes purposeful service experience and student reflection.","6","ARCH 374",""
"ARCH","497","Independent Study   Advanced Architectural Design Studio","Student initiated, individual research and design under direction of faculty sponsor.","6","ARCH 471",""
"ARCH","498R","Design X: Consequences   Self-Directed Diploma Studio","Final culminating design studio experience for Bachelor of Architecture professional degree. Development of a position and reflection on consequences in advanced architectural design. In-depth work on thematic issues as defined by student with faculty oversight expanding on design proposal, research, and documentation undertaken in a previous seminar.","6","ARCH 478R and ARCH 496 or ARCH 496S",""
"ARCH","499","Design X: Consequences   Diploma Studio","Final culminating design studio experience for Bachelor of Architecture professional degree. Development of a position and reflection on consequences in advanced architectural design. In-depth work on thematic issues as defined by instructor. Required graphic and written products. Restricted to students in their final academic semester.","6","ARCH 496",""
"ARCN","111","Architecture and the Built Environment","An introduction to architecture and the built environment for non-architecture majors. Significance of our surroundings, forces that create them. Creative aspects of design. Survey of examples from local to global. Strategies for individual and collective involvement.","3","",""
"ARCN","117","Honors: Architecture and the Built Environment","Students will attend ARCN 111 * classes, with supplementary assignments and/or class meetings.","3","",""
"ARCN","201","The American City: Citizens of the 21st Century","This course studies cities in the United States situated within a global context. The course is organized thematically, including architecture, planning paradigms, urban design theories, social equity, the economies of growth, the role of infrastructure, urban ecologies, geographies of sustainability and the American connection to land and landscape. A series of American case studies will be presented related to these themes. Understanding the complex evolution of American urbanism from multiple perspectives will help students in the future, as citizens of the 21st century.","3","",""
"ARCN","211","History and Theory of Architecture I","Architecture and ideas of building and community form in major world cultures from the prehistoric era to about 1750 CE.","3","",""
